,State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
518611,NC,Mecklenburg County,37,119,10/3/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO169-Phase-3.pdf,"N.C. Exec. Order No. 169 (Sept. 30, 2020)"
518612,NC,Mecklenburg County,37,119,10/4/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO169-Phase-3.pdf,"N.C. Exec. Order No. 169 (Sept. 30, 2020)"
518613,NC,Mecklenburg County,37,119,10/5/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO169-Phase-3.pdf,"N.C. Exec. Order No. 169 (Sept. 30, 2020)"
518614,NC,Mecklenburg County,37,119,10/6/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO169-Phase-3.pdf,"N.C. Exec. Order No. 169 (Sept. 30, 2020)"
518615,NC,Mecklenburg County,37,119,10/7/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO169-Phase-3.pdf,"N.C. Exec. Order No. 169 (Sept. 30, 2020)"
518616,NC,Mecklenburg County,37,119,10/8/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO169-Phase-3.pdf,"N.C. Exec. Order No. 169 (Sept. 30, 2020)"
518617,NC,Mecklenburg County,37,119,10/9/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO169-Phase-3.pdf,"N.C. Exec. Order No. 169 (Sept. 30, 2020)"
518618,NC,Mecklenburg County,37,119,10/10/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO169-Phase-3.pdf,"N.C. Exec. Order No. 169 (Sept. 30, 2020)"
518619,NC,Mecklenburg County,37,119,10/11/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO169-Phase-3.pdf,"N.C. Exec. Order No. 169 (Sept. 30, 2020)"
518620,NC,Mecklenburg County,37,119,10/12/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO169-Phase-3.pdf,"N.C. Exec. Order No. 169 (Sept. 30, 2020)"
518621,NC,Mecklenburg County,37,119,10/13/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO169-Phase-3.pdf,"N.C. Exec. Order No. 169 (Sept. 30, 2020)"
518622,NC,Mecklenburg County,37,119,10/14/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO169-Phase-3.pdf,"N.C. Exec. Order No. 169 (Sept. 30, 2020)"
518623,NC,Mecklenburg County,37,119,10/15/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO169-Phase-3.pdf,"N.C. Exec. Order No. 169 (Sept. 30, 2020)"
